branchFactor, leafSize, nodeIntersections, shadowNodeIntersections, allNodeIntersections, leafIntersections, shadowLeafIntersections, allLeafIntersections, leafFullness, cost, shadowCost
4, 16, 1.97773, 19.0555, 21.03323, 0.281644, 4.64045, 4.922094, 0.99262575, 0.52886025, 7.022387500000001

5, 1, 2.29648, 25.8388, 28.135279999999998, 0.359261, 5.80036, 6.1596210000000005, 1.0, 0.6463209999999999, 9.03021
5, 2, 2.15783, 23.4364, 25.59423, 0.339252, 5.70199, 6.0412420000000004, 0.992205, 0.60898075, 8.631540000000001
5, 3, 2.07957, 22.1827, 24.26227, 0.330437, 5.63682, 5.967257, 0.9909063333333333, 0.5903832499999999, 8.4096575
5, 4, 2.0258, 21.1808, 23.2066, 0.323433, 5.54744, 5.870873, 0.99107525, 0.576658, 8.19504
5, 5, 1.98167, 20.3584, 22.34007, 0.318561, 5.5099, 5.828461, 0.9914856000000001, 0.56626975, 8.0547
5, 6, 1.948, 19.7396, 21.6876, 0.315945, 5.51425, 5.830195, 0.9919446666666666, 0.559445, 7.9817
5, 7, 1.92272, 19.3111, 21.23382, 0.31311, 5.38325, 5.69636, 0.9918072857142857, 0.55345, 7.7971375
5, 8, 1.89387, 18.9396, 20.83347, 0.308249, 5.32013, 5.628379, 0.992123125, 0.54498275, 7.68758
5, 9, 1.87744, 18.5153, 20.39274, 0.306349, 5.25212, 5.558469, 0.9932212222222222, 0.541029, 7.566532499999999
5, 10, 1.86099, 18.222, 20.082990000000002, 0.302484, 5.1454, 5.447884, 0.9917807, 0.53510775, 7.423150000000001
5, 11, 1.84387, 17.9088, 19.75267, 0.300324, 5.15636, 5.456684, 0.9915385454545455, 0.5308077499999999, 7.39496
5, 12, 1.83014, 17.5336, 19.36374, 0.298024, 5.08988, 5.387904, 0.9930615833333333, 0.5267915000000001, 7.28158
5, 13, 1.81687, 17.6249, 19.44177, 0.296483, 5.02478, 5.321263, 0.9914985384615385, 0.52359175, 7.227892499999999
5, 14, 1.8076, 17.3348, 19.142400000000002, 0.292752, 4.93131, 5.224062, 0.9917072142857143, 0.518702, 7.09816
5, 15, 1.7926, 17.1927, 18.9853, 0.292499, 4.97372, 5.266219, 0.9921466, 0.516574, 7.1228075
5, 16, 1.78417, 16.8943, 18.67847, 0.292786, 4.96951, 5.262295999999999, 0.991744, 0.5158072499999999, 7.0812975

6, 1, 2.16869, 23.9712, 26.13989, 0.360188, 5.79981, 6.159998, 1.0, 0.6312742499999999, 8.79621
6, 2, 2.02779, 21.704, 23.73179, 0.34736, 5.82829, 6.17565, 0.9927185, 0.60083375, 8.54129
6, 3, 1.95673, 20.4971, 22.45383, 0.340282, 5.73905, 6.079332, 0.9903113333333334, 0.58487325, 8.3011875
6, 4, 1.91188, 19.6619, 21.57378, 0.33194, 5.66087, 5.99281, 0.99018675, 0.570925, 8.1186075
6, 5, 1.87632, 18.9434, 20.81972, 0.324798, 5.50673, 5.8315280000000005, 0.9909230000000001, 0.559338, 7.874655000000001
6, 6, 1.84321, 18.51, 20.35321, 0.321302, 5.45774, 5.7790420000000005, 0.9922596666666667, 0.55170325, 7.77149
6, 7, 1.81856, 18.1282, 19.94676, 0.314143, 5.35554, 5.669683, 0.9919995714285715, 0.541463, 7.621565
6, 8, 1.79325, 17.7219, 19.515150000000002, 0.313848, 5.34262, 5.656468, 0.991225125, 0.53800425, 7.557857500000001
6, 9, 1.77375, 17.2207, 18.99445, 0.311434, 5.2821, 5.593534, 0.9900436666666665, 0.53315275, 7.4346875
6, 10, 1.75646, 16.9402, 18.69666, 0.309176, 5.15842, 5.4675959999999995, 0.9908336, 0.5287335, 7.275945
6, 11, 1.73911, 16.6829, 18.42201, 0.310109, 5.27305, 5.583158999999999, 0.9914860909090909, 0.52749775, 7.3584125
6, 12, 1.72293, 16.4368, 18.159730000000003, 0.304734, 5.13417, 5.438904, 0.9924344166666667, 0.52010025, 7.18877
6, 13, 1.71023, 16.2015, 17.91173, 0.300622, 5.13942, 5.440042, 0.9908136923076923, 0.51440075, 7.164607500000001
6, 14, 1.7013, 16.1059, 17.807199999999998, 0.301515, 5.20282, 5.504335, 0.9920438571428571, 0.5141775, 7.2160575
6, 15, 1.68935, 15.9092, 17.59855, 0.300568, 5.21038, 5.510948, 0.9918175333333333, 0.51173675, 7.19903
6, 16, 1.68016, 15.7096, 17.38976, 0.299108, 5.13173, 5.4308380000000005, 0.9914161875, 0.509128, 7.09543

7, 1, 2.07273, 22.2241, 24.29683, 0.361393, 5.80081, 6.162203, 1.0, 0.6204842500000001, 8.578822500000001
7, 2, 1.96925, 20.5642, 22.53345, 0.349676, 5.7606, 6.110276, 0.992419, 0.59583225, 8.331125
7, 3, 1.88247, 19.2346, 21.117070000000002, 0.342215, 5.76242, 6.104635, 0.9908333333333333, 0.57752375, 8.166744999999999
7, 4, 1.83372, 18.1965, 20.03022, 0.34212, 5.79489, 6.13701, 0.9902965, 0.5713349999999999, 8.0694525
7, 5, 1.79712, 17.4302, 19.22732, 0.336658, 5.72568, 6.062338, 0.9906744, 0.5612980000000001, 7.904455
7, 6, 1.77477, 17.0119, 18.78667, 0.33341, 5.72331, 6.056719999999999, 0.9909085000000001, 0.55525625, 7.849797499999999
7, 7, 1.75727, 16.7352, 18.492469999999997, 0.325163, 5.69668, 6.021843, 0.9916184285714286, 0.54482175, 7.78858
7, 8, 1.74143, 16.5272, 18.26863, 0.325866, 5.69565, 6.021516, 0.990589875, 0.54354475, 7.76155
7, 9, 1.72242, 16.1748, 17.89722, 0.317445, 5.67314, 5.990585, 0.9910378888888888, 0.5327474999999999, 7.694990000000001
7, 10, 1.70796, 15.7704, 17.478360000000002, 0.316335, 5.7216, 6.037934999999999, 0.990358, 0.52983, 7.6929
