branchFactor, leafSize, nodeIntersections, shadowNodeIntersections, allNodeIntersections, leafIntersections, shadowLeafIntersections, allLeafIntersections, leafFullness, cost, shadowCost
4, 16, 8.72327, 12.3172, 21.04047, 2.56319, 3.74891, 6.3121, 0.988025, 3.65359875, 5.28856

5, 1, 12.0761, 17.0761, 29.1522, 2.55257, 3.70209, 6.254659999999999, 1.0, 4.0620825, 5.8366025
5, 2, 10.8788, 15.3818, 26.2606, 2.44051, 3.55631, 5.99682, 0.9928605, 3.8003600000000004, 5.479035
5, 3, 10.4481, 14.6739, 25.122, 2.55566, 3.69466, 6.25032, 0.9897096666666667, 3.8616725, 5.528897499999999
5, 4, 9.92621, 13.6693, 23.595509999999997, 2.39319, 3.52049, 5.91368, 0.98451475, 3.6339662500000003, 5.2291525
5, 5, 9.51256, 13.0895, 22.60206, 2.57765, 3.91619, 6.4938400000000005, 0.9840477999999999, 3.7667200000000003, 5.5523774999999995
5, 6, 9.37796, 13.0838, 22.461759999999998, 2.3689, 3.55562, 5.924519999999999, 0.9847966666666667, 3.541145, 5.191095
5, 7, 9.23436, 12.7682, 22.002560000000003, 2.53133, 3.76014, 6.29147, 0.9837048571428572, 3.685625, 5.356165
5, 8, 9.01749, 12.4235, 21.44099, 2.42479, 3.5945, 6.01929, 0.963086375, 3.55197625, 5.1474375000000006
5, 9, 8.95177, 12.6025, 21.55427, 2.4916, 3.78067, 6.272270000000001, 0.9773282222222223, 3.61057125, 5.3559825
5, 10, 8.58253, 11.8906, 20.473129999999998, 2.58639, 3.95893, 6.54532, 0.9758013999999999, 3.6592062500000004, 5.4452549999999995
5, 11, 8.69556, 12.2326, 20.92816, 2.53909, 3.6903, 6.22939, 0.9588104545454545, 3.626035, 5.219375
5, 12, 8.64756, 12.2298, 20.87736, 2.69687, 4.09219, 6.789060000000001, 0.9586009166666667, 3.7778150000000004, 5.620915
5, 13, 8.24933, 11.7046, 19.95393, 2.735, 4.14656, 6.88156, 0.9707326153846154, 3.76616625, 5.609635
5, 14, 8.13666, 11.4025, 19.53916, 2.5607, 3.97093, 6.53163, 0.949887, 3.5777825, 5.3962425
5, 15, 8.3398, 11.4479, 19.7877, 2.72596, 4.21951, 6.94547, 0.9694024, 3.768435, 5.6504975
5, 16, 7.85994, 10.8153, 18.675240000000002, 2.45084, 3.78241, 6.23325, 0.9675769375, 3.4333324999999997, 5.1343225

6, 1, 11.9209, 16.451, 28.3719, 2.57287, 3.71884, 6.29171, 1.0, 4.0629825, 5.775215
6, 2, 10.8743, 15.3595, 26.233800000000002, 2.60449, 3.86996, 6.47445, 0.994283, 3.9637775, 5.7898975
6, 3, 10.3297, 14.3741, 24.7038, 2.60319, 3.79876, 6.40195, 0.9872433333333334, 3.8944025, 5.5955225
6, 4, 9.87293, 13.441, 23.31393, 2.69183, 3.92475, 6.61658, 0.98126375, 3.92594625, 5.604875
6, 5, 9.48488, 13.0075, 22.49238, 2.7651, 4.0363, 6.801399999999999, 0.9790378000000001, 3.95071, 5.6622375
6, 6, 9.23336, 12.7482, 21.98156, 2.67696, 3.90751, 6.58447, 0.977998, 3.83113, 5.501035
6, 7, 9.16939, 12.4985, 21.66789, 2.66792, 3.7304, 6.39832, 0.9676965714285714, 3.81409375, 5.2927125
6, 8, 8.87099, 12.0627, 20.93369, 2.67801, 3.83473, 6.51274, 0.98050775, 3.7868837500000003, 5.3425674999999995
6, 9, 8.69664, 12.0684, 20.76504, 2.67146, 3.94028, 6.61174, 0.977028888888889, 3.75854, 5.44883
6, 10, 8.67567, 12.0088, 20.68447, 2.66017, 3.96402, 6.6241900000000005, 0.9791977, 3.74462875, 5.465120000000001
6, 11, 8.41543, 11.4445, 19.85993, 2.68092, 3.89838, 6.5793, 0.9739829090909091, 3.73284875, 5.3289425
6, 12, 8.25634, 11.4957, 19.75204, 2.82396, 4.46585, 7.289809999999999, 0.9819489166666666, 3.8560024999999998, 5.9028125
6, 13, 8.43372, 11.7326, 20.16632, 2.80361, 4.11207, 6.91568, 0.9668883076923076, 3.857825, 5.578645
6, 14, 8.3588, 11.5016, 19.8604, 2.64631, 4.00518, 6.651490000000001, 0.9666572857142857, 3.69116, 5.442880000000001
6, 15, 8.25763, 11.4321, 19.68973, 2.72167, 4.10287, 6.824540000000001, 0.9628072666666667, 3.7538737500000003, 5.5318825
6, 16, 8.17018, 11.1601, 19.330280000000002, 2.47456, 3.74049, 6.21505, 0.9593234375, 3.4958324999999997, 5.135502499999999

7, 1, 11.4276, 15.753, 27.1806, 2.56718, 3.68966, 6.25684, 1.0, 3.9956300000000002, 5.658785
7, 2, 10.4064, 14.4081, 24.8145, 2.74425, 4.06169, 6.80594, 0.992636, 4.04505, 5.862702499999999
7, 3, 9.77001, 13.4112, 23.18121, 2.7331, 4.11971, 6.85281, 0.9883526666666667, 3.9543512499999998, 5.7961100000000005
7, 4, 9.24059, 12.7883, 22.028889999999997, 2.83757, 4.18958, 7.027150000000001, 0.98176525, 3.99264375, 5.7881175
7, 5, 8.9463, 12.1852, 21.131500000000003, 2.91838, 4.36571, 7.28409, 0.9822580000000001, 4.0366675, 5.88886
7, 6, 8.74767, 11.9022, 20.64987, 2.91633, 4.48569, 7.40202, 0.9810571666666666, 4.00978875, 5.973465
7, 7, 8.51686, 11.4005, 19.91736, 2.9468, 4.42514, 7.37194, 0.9776688571428572, 4.0114075, 5.8502025
7, 8, 8.2972, 11.2002, 19.4974, 2.91978, 4.43778, 7.357559999999999, 0.98086725, 3.95693, 5.837805
7, 9, 7.95768, 10.6976, 18.655279999999998, 2.84743, 4.26673, 7.11416, 0.9806302222222223, 3.84214, 5.60393
7, 10, 8.04234, 10.7839, 18.82624, 2.86054, 4.34427, 7.20481, 0.976347, 3.8658325, 5.6922575
7, 11, 7.71369, 10.2791, 17.99279, 2.87015, 4.24435, 7.1145, 0.9731756363636364, 3.83436125, 5.5292375
7, 12, 7.88947, 10.644, 18.53347, 2.93193, 4.60868, 7.540609999999999, 0.9752815833333334, 3.91811375, 5.9391799999999995
7, 13, 7.71027, 10.3255, 18.03577, 2.9799, 4.46527, 7.445170000000001, 0.9663453846153847, 3.9436837500000004, 5.7559575
7, 14, 7.51533, 10.0614, 17.57673, 2.77148, 4.15405, 6.92553, 0.9500693571428572, 3.71089625, 5.411725
7, 15, 7.53131, 10.0857, 17.61701, 2.85231, 4.20886, 7.06117, 0.9642287333333334, 3.7937237500000003, 5.4695725
7, 16, 7.63629, 10.2743, 17.91059, 2.82367, 4.23166, 7.05533, 0.9598301875, 3.7782062499999998, 5.515947499999999

8, 1, 10.7396, 14.929, 25.668599999999998, 2.61045, 3.70306, 6.31351, 1.0, 3.9529, 5.569185
8, 2, 9.87134, 13.7708, 23.642139999999998, 2.73514, 4.03457, 6.76971, 0.9933045, 3.9690575, 5.755920000000001
8, 3, 9.20599, 12.7318, 21.93779, 2.81351, 4.0885, 6.90201, 0.9903233333333333, 3.96425875, 5.679975
8, 4, 8.62432, 12.0654, 20.68972, 3.00554, 4.36928, 7.37482, 0.98277425, 4.0835799999999995, 5.877454999999999
8, 5, 8.14841, 11.1118, 19.26021, 3.12465, 4.55722, 7.68187, 0.9865988, 4.14320125, 5.946195
8, 6, 7.87726, 10.7966, 18.673859999999998, 3.13843, 4.77465, 7.913080000000001, 0.9873838333333333, 4.1230875000000005, 6.124225
8, 7, 7.93618, 10.6505, 18.58668, 2.87984, 4.31384, 7.1936800000000005, 0.9789092857142857, 3.8718625, 5.6451525
8, 8, 7.70078, 10.3876, 18.08838, 2.92011, 4.42986, 7.34997, 0.97958875, 3.8827075000000004, 5.72831
8, 9, 7.39481, 10.0564, 17.45121, 2.87963, 4.33623, 7.215859999999999, 0.9826847777777777, 3.80398125, 5.59328
8, 10, 7.51885, 10.19, 17.708849999999998, 2.86924, 4.29275, 7.161989999999999, 0.9768559, 3.80909625, 5.5665
8, 11, 7.46238, 10.011, 17.47338, 2.85781, 4.3274, 7.18521, 0.9734890909090909, 3.7906075, 5.578775
8, 12, 7.46049, 10.2069, 17.667389999999997, 2.80229, 4.47104, 7.2733300000000005, 0.9734535000000001, 3.73485125, 5.7469025
8, 13, 7.25551, 9.87487, 17.13038, 2.89076, 4.36718, 7.2579400000000005, 0.9669966923076923, 3.7976987500000003, 5.6015387500000005
8, 14, 7.13634, 9.67638, 16.81272, 2.6323, 4.04314, 6.67544, 0.9448766428571428, 3.5243425, 5.2526875
8, 15, 7.11237, 9.58112, 16.69349, 2.67982, 4.05549, 6.73531, 0.9639302, 3.56886625, 5.25313
8, 16, 7.33914, 9.94713, 17.286270000000002, 2.74684, 4.18368, 6.93052, 0.9570293125, 3.6642325000000002, 5.42707125

9, 1, 10.4123, 14.4786, 24.890900000000002, 2.59701, 3.69937, 6.29638, 1.0, 3.8985475000000003, 5.509195
9, 2, 9.61326, 13.4665, 23.07976, 2.82633, 4.06148, 6.88781, 0.9932505, 4.0279875, 5.744792500000001
9, 3, 8.86875, 12.2901, 21.15885, 2.95546, 4.32651, 7.281969999999999, 0.9901726666666667, 4.06405375, 5.8627725
9, 4, 8.16682, 11.4152, 19.58202, 3.13878, 4.63063, 7.769410000000001, 0.987516, 4.1596325, 6.05753
9, 5, 7.85841, 10.6344, 18.49281, 3.1972, 4.74407, 7.941269999999999, 0.9851222, 4.17950125, 6.07337
9, 6, 7.60147, 10.4136, 18.01507, 3.18255, 4.87616, 8.05871, 0.9817181666666667, 4.13273375, 6.17786
9, 7, 7.68221, 10.4336, 18.11581, 2.95447, 4.46309, 7.41756, 0.9798538571428572, 3.9147462500000003, 5.76729
9, 8, 7.55511, 10.252, 17.80711, 2.95944, 4.59998, 7.55942, 0.977753625, 3.9038287499999997, 5.881480000000001
9, 9, 7.27855, 9.8896, 17.16815, 2.90483, 4.50151, 7.40634, 0.986992, 3.81464875, 5.73771
9, 10, 7.3779, 10.0482, 17.426099999999998, 2.86933, 4.36901, 7.238340000000001, 0.9772751, 3.7915675, 5.6250350000000005
9, 11, 7.4581, 10.0649, 17.523, 2.85876, 4.42378, 7.28254, 0.9718854545454545, 3.7910225000000004, 5.6818925
9, 12, 7.48715, 10.2277, 17.71485, 2.85515, 4.55994, 7.41509, 0.9749404166666666, 3.79104375, 5.8384025
9, 13, 7.19846, 9.81078, 17.00924, 2.87732, 4.4713, 7.34862, 0.969243076923077, 3.7771275, 5.6976475
9, 14, 7.09399, 9.63241, 16.726399999999998, 2.6771, 4.10739, 6.78449, 0.9479459285714286, 3.56384875, 5.31144125
9, 15, 7.00628, 9.4294, 16.435679999999998, 2.72425, 4.1921, 6.9163499999999996, 0.9678903333333333, 3.600035, 5.370775
9, 16, 7.17974, 9.64828, 16.82802, 2.79696, 4.24691, 7.04387, 0.9599090625, 3.6944274999999998, 5.452945

10, 1, 10.4431, 14.2222, 24.665300000000002, 2.59989, 3.71135, 6.31124, 1.0, 3.9052774999999995, 5.489125
10, 2, 9.26046, 12.744, 22.00446, 2.88014, 4.09596, 6.9761, 0.990922, 4.0376975, 5.68896
10, 3, 8.59397, 11.6929, 20.28687, 3.0247, 4.34846, 7.37316, 0.9884453333333334, 4.09894625, 5.8100725
10, 4, 8.00122, 10.8774, 18.878619999999998, 3.15822, 4.62949, 7.78771, 0.9861335, 4.1583725000000005, 5.989165
10, 5, 7.88128, 10.4745, 18.355780000000003, 3.14509, 4.6541, 7.799189999999999, 0.9842024, 4.13025, 5.9634125
10, 6, 7.70515, 10.3266, 18.03175, 3.03684, 4.70493, 7.741770000000001, 0.9809294999999999, 3.99998375, 5.995755
10, 7, 7.79945, 10.3507, 18.15015, 2.89092, 4.42604, 7.31696, 0.9805188571428571, 3.86585125, 5.719877500000001
10, 8, 7.73202, 10.3162, 18.04822, 2.93429, 4.68466, 7.61895, 0.97436, 3.9007924999999997, 5.974185
10, 9, 7.51925, 10.0522, 17.57145, 2.9203, 4.56499, 7.48529, 0.9861511111111112, 3.86020625, 5.821515
10, 10, 7.54386, 10.0625, 17.60636, 2.82525, 4.38403, 7.20928, 0.9772873000000001, 3.7682325, 5.6418425
10, 11, 7.6333, 10.1332, 17.7665, 2.92667, 4.47382, 7.40049, 0.9724081818181819, 3.8808325000000004, 5.74047
10, 12, 7.37195, 9.84986, 17.221809999999998, 2.80831, 4.57473, 7.383039999999999, 0.9816470833333333, 3.7298037500000003, 5.8059625
10, 13, 7.34865, 9.84068, 17.18933, 2.96493, 4.59743, 7.56236, 0.9715670769230769, 3.8835112499999997, 5.827515
10, 14, 7.05143, 9.39795, 16.449379999999998, 2.77221, 4.32556, 7.097770000000001, 0.9531197857142857, 3.65363875, 5.5003037500000005
10, 15, 6.97187, 9.21621, 16.18808, 2.82853, 4.32773, 7.15626, 0.9710392, 3.70001375, 5.479756249999999
10, 16, 6.99709, 9.10448, 16.101570000000002, 2.86347, 4.39384, 7.25731, 0.9584575625, 3.73810625, 5.5319

11, 1, 10.5011, 14.2199, 24.721, 2.60161, 3.71045, 6.31206, 1.0, 3.9142475, 5.4879375
11, 2, 9.14342, 12.2969, 21.44032, 2.89667, 4.01815, 6.914820000000001, 0.9890045, 4.0395975, 5.5552625
11, 3, 8.46297, 11.2579, 19.720869999999998, 3.07535, 4.29592, 7.371269999999999, 0.9898463333333334, 4.13322125, 5.7031575
11, 4, 8.08825, 10.795, 18.88325, 3.14938, 4.54759, 7.696969999999999, 0.98703025, 4.16041125, 5.896965
11, 5, 8.07516, 10.5993, 18.67446, 3.1045, 4.54824, 7.65274, 0.9843527999999999, 4.113894999999999, 5.8731525
11, 6, 7.90519, 10.5368, 18.44199, 3.03595, 4.6898, 7.72575, 0.9844918333333333, 4.02409875, 6.0069
11, 7, 7.99225, 10.4923, 18.48455, 2.92362, 4.44666, 7.370279999999999, 0.9811892857142857, 3.9226512500000004, 5.7581975
11, 8, 7.89623, 10.3538, 18.25003, 2.98507, 4.68187, 7.66694, 0.97834575, 3.97209875, 5.976095
11, 9, 7.71612, 10.2119, 17.92802, 2.91241, 4.6304, 7.542809999999999, 0.986738, 3.876925, 5.9068875
11, 10, 7.70557, 10.1772, 17.88277, 2.89307, 4.40768, 7.30075, 0.9681136, 3.85626625, 5.67983
11, 11, 7.69424, 10.0428, 17.73704, 2.94407, 4.4986, 7.44267, 0.9633222727272728, 3.90585, 5.75395
11, 12, 7.37922, 9.7371, 17.11632, 3.00269, 4.79952, 7.8022100000000005, 0.9808055833333333, 3.9250925, 6.0166575
11, 13, 7.23387, 9.52498, 16.75885, 3.02227, 4.64845, 7.67072, 0.9678595384615385, 3.9265037499999997, 5.8390725
11, 14, 7.18215, 9.47049, 16.652639999999998, 2.85619, 4.42401, 7.2802, 0.9447469285714286, 3.75395875, 5.60782125
11, 15, 6.95485, 9.0677, 16.022550000000003, 2.96018, 4.43776, 7.39794, 0.9703923333333333, 3.82953625, 5.5712225
11, 16, 6.95104, 8.99482, 15.94586, 3.03771, 4.59683, 7.634539999999999, 0.9632676875, 3.90659, 5.721182499999999

12, 1, 10.4518, 13.5954, 24.0472, 2.63912, 3.71718, 6.3563, 1.0, 3.945595, 5.416605
12, 2, 9.15649, 12.0222, 21.17869, 2.91667, 3.95416, 6.87083, 0.9915925, 4.06123125, 5.456935
12, 3, 8.55648, 11.1577, 19.71418, 3.12229, 4.20993, 7.3322199999999995, 0.9890063333333333, 4.1918500000000005, 5.6046425
12, 4, 8.35209, 10.9681, 19.32019, 3.17389, 4.53174, 7.70563, 0.98527025, 4.217901250000001, 5.9027525
12, 5, 8.36393, 10.9046, 19.26853, 3.22829, 4.67404, 7.902329999999999, 0.9839204, 4.27378125, 6.037115
12, 6, 8.06342, 10.6115, 18.67492, 3.09825, 4.62252, 7.72077, 0.9766958333333333, 4.1061775, 5.9489575
12, 7, 8.01846, 10.317, 18.335459999999998, 3.08833, 4.65074, 7.73907, 0.9790338571428572, 4.0906375, 5.940365
12, 8, 7.89225, 10.2132, 18.10545, 3.17358, 4.86885, 8.04243, 0.98425775, 4.16011125, 6.1455
12, 9, 7.71164, 10.036, 17.74764, 3.22356, 5.04731, 8.27087, 0.9893521111111111, 4.187515, 6.301810000000001
12, 10, 7.5444, 9.65468, 17.199080000000002, 3.21112, 4.93582, 8.14694, 0.9722227, 4.154170000000001, 6.1426549999999995
12, 11, 7.44942, 9.47915, 16.92857, 3.3376, 5.03798, 8.37558, 0.966121909090909, 4.268777500000001, 6.22287375
12, 12, 7.0315, 8.88517, 15.91667, 3.33525, 5.28628, 8.62153, 0.9811132499999999, 4.2141874999999995, 6.39692625
12, 13, 6.92964, 8.7048, 15.634440000000001, 3.40187, 5.27459, 8.67646, 0.9720769230769231, 4.2680750000000005, 6.36269
12, 14, 6.92561, 8.7411, 15.666709999999998, 3.23276, 5.02606, 8.25882, 0.9493236428571429, 4.09846125, 6.1186975
12, 15, 6.77462, 8.47372, 15.248339999999999, 3.24677, 4.92648, 8.17325, 0.9731728666666667, 4.0935975000000004, 5.985695
12, 16, 6.67906, 8.22914, 14.908199999999999, 3.16851, 4.73499, 7.903499999999999, 0.9644791875, 4.0033925, 5.7636325

13, 1, 10.1455, 13.1019, 23.2474, 2.66354, 3.71653, 6.38007, 1.0, 3.9317275, 5.354267500000001
13, 2, 9.2051, 11.9545, 21.159599999999998, 2.84476, 3.93071, 6.77547, 0.9923655, 3.9953975, 5.4250225
13, 3, 8.92501, 11.7115, 20.63651, 3.06469, 4.26391, 7.3286, 0.9882206666666667, 4.180316250000001, 5.7278475
13, 4, 8.70452, 11.4794, 20.18392, 3.08238, 4.45515, 7.53753, 0.98399875, 4.170445, 5.8900749999999995
13, 5, 8.5333, 11.1158, 19.6491, 3.20578, 4.73199, 7.9377699999999995, 0.9832686, 4.2724425, 6.121465
13, 6, 8.1468, 10.7506, 18.8974, 3.10822, 4.68945, 7.79767, 0.9759111666666667, 4.12657, 6.033275
13, 7, 8.07747, 10.3756, 18.45307, 3.0936, 4.67718, 7.77078, 0.9776094285714285, 4.10328375, 5.97413
13, 8, 7.91426, 10.1905, 18.10476, 3.22318, 4.92967, 8.15285, 0.981050875, 4.2124625, 6.2034825
13, 9, 7.57139, 9.8581, 17.42949, 3.33784, 5.0959, 8.43374, 0.9882053333333334, 4.28426375, 6.3281625
13, 10, 7.3956, 9.32788, 16.723480000000002, 3.33141, 5.03395, 8.365359999999999, 0.9720416999999999, 4.25586, 6.199935
13, 11, 7.26344, 9.13544, 16.39888, 3.46952, 5.1502, 8.619720000000001, 0.9663656363636364, 4.3774500000000005, 6.29213
13, 12, 6.82652, 8.55718, 15.383700000000001, 3.46679, 5.45244, 8.91923, 0.9807695000000001, 4.320105, 6.5220875000000005
13, 13, 6.84316, 8.54548, 15.388639999999999, 3.46155, 5.24651, 8.70806, 0.9704711538461539, 4.316945, 6.3146949999999995
