branchFactor, leafSize, sahNodeFactor
4, 4, 0.5517889656722882
4, 8, 0.4189458947298524
4, 12, 0.3485272939499987
4, 16, 0.30191415165749275
8, 4, 0.8097739269103936
8, 8, 0.6235093902016393
8, 12, 0.509799278819613
8, 16, 0.45083331599508175
12, 4, 0.9975223916650136
12, 8, 0.8020093401777307
12, 12, 0.6600190110139817
12, 16, 0.5833434444285667
16, 4, 1.1807682625769784
16, 8, 0.9468427865269327
16, 12, 0.7788484219284283
16, 16, 0.6910917781591601
