branchFactor, leafSize, sahNodeFactor
4, 4, 2.363786573964325
4, 8, 1.745899179417674
4, 12, 1.3352388002508124
4, 16, 1.1746523215683948
8, 4, 3.064507314991679
8, 8, 2.3052022998410555
8, 12, 1.7805990244079002
8, 16, 1.6046276642980324
12, 4, 3.4874349320937856
12, 8, 2.6644694851509882
12, 12, 2.054052981323501
12, 16, 1.8605668197847607
16, 4, 4.037291056655451
16, 8, 3.0171956731844327
16, 12, 2.3616362391916192
16, 16, 2.144318172966653
