branchFactor, leafSize, sahNodeFactor
4, 4, 1.0503064898012946
4, 8, 0.6525800603834524
4, 12, 0.5098089523652123
4, 16, 0.41618516450047327
8, 4, 1.290377206393171
8, 8, 0.841323343203566
8, 12, 0.6602722738050442
8, 16, 0.5574205984286716
12, 4, 1.5653350260214276
12, 8, 1.0605652677230202
12, 12, 0.8388241608334311
12, 16, 0.704997497157781
16, 4, 1.8054498148230107
16, 8, 1.2290341839402619
16, 12, 0.9530557818642359
16, 16, 0.8187625708699416
